trial,class,flips,ns,seed,kem,decap_rc
401,clean,0,14375,123,kyber1024,0
402,clean,0,14250,123,kyber1024,0
403,clean,0,14250,123,kyber1024,0
404,clean,0,14333,123,kyber1024,0
405,clean,0,14375,123,kyber1024,0
406,clean,0,14250,123,kyber1024,0
407,clean,0,14333,123,kyber1024,0
408,clean,0,14250,123,kyber1024,0
409,clean,0,14333,123,kyber1024,0
410,clean,0,14417,123,kyber1024,0
411,clean,0,14375,123,kyber1024,0
412,clean,0,14292,123,kyber1024,0
413,clean,0,14292,123,kyber1024,0
414,clean,0,14334,123,kyber1024,0
415,clean,0,14375,123,kyber1024,0
416,clean,0,14334,123,kyber1024,0
417,clean,0,14333,123,kyber1024,0
418,clean,0,14292,123,kyber1024,0
419,clean,0,14375,123,kyber1024,0
420,clean,0,14333,123,kyber1024,0
421,clean,0,14292,123,kyber1024,0
422,clean,0,14334,123,kyber1024,0
423,clean,0,14375,123,kyber1024,0
424,clean,0,14292,123,kyber1024,0
425,clean,0,14333,123,kyber1024,0
426,clean,0,14375,123,kyber1024,0
427,clean,0,14291,123,kyber1024,0
428,clean,0,14333,123,kyber1024,0
429,clean,0,14291,123,kyber1024,0
430,clean,0,14250,123,kyber1024,0
431,clean,0,14292,123,kyber1024,0
432,clean,0,14375,123,kyber1024,0
433,clean,0,14292,123,kyber1024,0
434,clean,0,14333,123,kyber1024,0
435,clean,0,14292,123,kyber1024,0
436,clean,0,14292,123,kyber1024,0
437,clean,0,14333,123,kyber1024,0
438,clean,0,14417,123,kyber1024,0
439,clean,0,14375,123,kyber1024,0
440,clean,0,14333,123,kyber1024,0
441,clean,0,14458,123,kyber1024,0
442,clean,0,14292,123,kyber1024,0
443,clean,0,14250,123,kyber1024,0
444,clean,0,14333,123,kyber1024,0
445,clean,0,14334,123,kyber1024,0
446,clean,0,14417,123,kyber1024,0
447,clean,0,14417,123,kyber1024,0
448,clean,0,14417,123,kyber1024,0
449,clean,0,16375,123,kyber1024,0
450,clean,0,15000,123,kyber1024,0
451,clean,0,14416,123,kyber1024,0
452,clean,0,14958,123,kyber1024,0
453,clean,0,14333,123,kyber1024,0
454,clean,0,14667,123,kyber1024,0
455,clean,0,15209,123,kyber1024,0
456,clean,0,14334,123,kyber1024,0
457,clean,0,14416,123,kyber1024,0
458,clean,0,14375,123,kyber1024,0
459,clean,0,14458,123,kyber1024,0
460,clean,0,14333,123,kyber1024,0
461,clean,0,14333,123,kyber1024,0
462,clean,0,14375,123,kyber1024,0
463,clean,0,15125,123,kyber1024,0
464,clean,0,14208,123,kyber1024,0
465,clean,0,14291,123,kyber1024,0
466,clean,0,14333,123,kyber1024,0
467,clean,0,14333,123,kyber1024,0
468,clean,0,14333,123,kyber1024,0
469,clean,0,14334,123,kyber1024,0
470,clean,0,14250,123,kyber1024,0
471,clean,0,14291,123,kyber1024,0
472,clean,0,14292,123,kyber1024,0
473,clean,0,14334,123,kyber1024,0
474,clean,0,14417,123,kyber1024,0
475,clean,0,14291,123,kyber1024,0
476,clean,0,14250,123,kyber1024,0
477,clean,0,14334,123,kyber1024,0
478,clean,0,14333,123,kyber1024,0
479,clean,0,14375,123,kyber1024,0
